iter	Passed	Remaining
249	35326	105980
250	35473	105855
251	35621	105732
252	35767	105607
253	35916	105486
254	36063	105360
255	36203	105217
256	36343	105071
257	36489	104944
258	36645	104843
259	36791	104713
260	36935	104579
261	37085	104461
262	37223	104311
263	37381	104214
264	37544	104133
265	37702	104035
266	37876	103982
267	38055	103942
268	38211	103838
269	38369	103739
270	38524	103632
271	38666	103489
272	38811	103355
273	38963	103239
274	39120	103137
275	39262	102991
276	39406	102854
277	39551	102719
278	39708	102615
279	39858	102493
280	40003	102357
281	40139	102199
282	40282	102058
283	40430	101930
284	40590	101832
285	40728	101679
286	40871	101537
287	41020	101412
288	41165	101275
289	41307	101132
290	41450	100991
291	41589	100841
292	41745	100730
293	41904	100627
294	42045	100481
295	42202	100374
296	42343	100228
297	42502	100124
298	42643	99977
299	42790	99845
300	42930	99695
301	43078	99565
302	43232	99448
303	43366	99287
304	43495	99111
305	43653	99004
306	43799	98869
307	43925	98690
308	44064	98538
309	44193	98365
310	44323	98196
311	44459	98038
312	44587	97863
313	44722	97706
314	44847	97526
315	44989	97381
316	45146	97270
317	45281	97113
318	45427	96978
319	45579	96856
320	45718	96706
321	45848	96537
322	45990	96395
323	46130	96248
324	46270	96099
325	46432	95999
326	46591	95889
327	46749	95778
328	46893	95638
329	47039	95503
330	47201	95400
331	47377	95325
332	47533	95209
333	47669	95053
334	47803	94893
335	47953	94765
336	48115	94660
337	48273	94547
338	48402	94378
339	48529	94204
340	48663	94044
341	48794	93880
342	48919	93703
343	49054	93546
344	49199	93407
345	49348	93277
346	49479	93113
347	49609	92946
348	49739	92780
349	49868	92613
350	49998	92448
351	50124	92274
352	50254	92110
353	50383	91943
354	50538	91822
355	50699	91714
356	50831	91552
357	50960	91387
358	51087	91217
359	51212	91043
360	51336	90870
361	51464	90702
362	51601	90551
363	51760	90438
364	51908	90306
365	52032	90132
366	52181	90002
367	52339	89887
368	52467	89721
369	52593	89551
370	52720	89384
371	52863	89242
372	53006	89101
373	53040	88779
374	53171	88619
375	53299	88453
376	53428	88291
377	53554	88123
378	53685	87964
379	53809	87794
380	53939	87633
381	54061	87460
382	54186	87292
383	54308	87119
384	54442	86966
385	54574	86810
386	54700	86644
387	54822	86471
388	54947	86305
389	55078	86147
390	55208	85989
391	55337	85829
392	55482	85694
393	55636	85572
394	55774	85426
395	55902	85266
396	56044	85125
397	56202	85010
398	56348	84875
399	56481	84721
400	56614	84568
401	56746	84413
402	56877	84257
403	57027	84130
404	57172	83994
405	57311	83850
406	57441	83692
407	57574	83539
408	57702	83379
409	57835	83226
410	57976	83085
411	58108	82931
412	58246	82786
413	58382	82637
414	58514	82484
415	58656	82345
416	58782	82182
417	58910	82023
418	59056	81889
419	59209	81765
420	59351	81625
421	59479	81466
422	59607	81308
423	59755	81177
424	59914	81060
425	60058	80924
426	60207	80793
427	60375	80688
428	60541	80581
429	60688	80447
430	60833	80312
431	60985	80184
432	61140	80061
433	61290	79932
434	61427	79784
435	61567	79642
436	61707	79499
437	61846	79355
438	61991	79219
439	62141	79088
440	62289	78956
441	62427	78811
442	62568	78669
443	62706	78524
444	62837	78370
445	62972	78221
446	63109	78075
447	63239	77920
448	63375	77772
449	63511	77625
450	63648	77478
451	63772	77316
452	63894	77152
453	64021	76995
454	64154	76844
455	64295	76702
456	64434	76560
457	64575	76418
458	64700	76259
459	64834	76109
460	64964	75955
461	65095	75803
462	65228	75653
463	65355	75497
464	65484	75342
465	65610	75184
466	65741	75032
467	65874	74882
468	66014	74740
469	66151	74596
470	66283	74446
471	66418	74298
472	66553	74151
473	66681	73996
474	66803	73835
475	66932	73682
476	67065	73533
477	67191	73376
478	67327	73231
479	67466	73089
480	67600	72940
481	67734	72793
482	67867	72644
483	67997	72493
484	68128	72342
485	68257	72189
486	68385	72036
487	68517	71887
488	68647	71735
489	68775	71582
490	68907	71433
491	69032	71277
492	69157	71121
493	69281	70964
494	69407	70810
495	69540	70661
496	69669	70511
497	69797	70357
498	69924	70204
499	70049	70049
500	70175	69895
501	70305	69745
502	70440	69599
503	70572	69452
504	70701	69301
505	70825	69145
506	70953	68994
507	71080	68841
508	71201	68683
509	71327	68530
510	71456	68379
511	71582	68227
512	71712	68077
513	71861	67947
514	71992	67798
515	72118	67646
516	72250	67499
517	72375	67345
518	72502	67194
519	72633	67046
520	72765	66899
521	72893	66749
522	73019	66597
523	73143	66443
524	73269	66291
525	73331	66081
526	73455	65928
527	73583	65779
528	73707	65626
529	73833	65475
530	73958	65322
531	74088	65175
532	74228	65037
533	74361	64891
534	74530	64778
535	74717	64680
536	74883	64564
537	75034	64434
538	75186	64305
539	75330	64170
540	75479	64039
541	75612	63894
542	75753	63755
543	75884	63609
544	76015	63462
545	76147	63316
546	76281	63172
547	76411	63025
548	76539	62876
549	76665	62726
550	76795	62579
551	76921	62429
552	77045	62277
553	77169	62125
554	77299	61979
555	77426	61830
556	77561	61687
557	77687	61537
558	77822	61394
559	77949	61245
560	78069	61091
561	78207	60951
562	78352	60817
563	78479	60668
564	78609	60522
565	78748	60383
566	78877	60236
567	79011	60093
568	79142	59947
569	79267	59798
570	79395	59650
571	79525	59504
572	79650	59355
573	79779	59208
574	79917	59069
575	80057	58931
576	80194	58791
577	80323	58644
578	80451	58497
579	80574	58346
580	80701	58199
581	80831	58054
582	80957	57906
583	81091	57763
584	81214	57613
585	81341	57466
586	81470	57320
587	81596	57173
588	81725	57027
589	81850	56879
590	81978	56732
591	82103	56584
592	82230	56437
593	82353	56288
594	82479	56141
595	82604	55993
596	82735	55849
597	82861	55703
598	82988	55556
599	83122	55415
600	83273	55284
601	83412	55146
602	83550	55007
603	83678	54861
604	83810	54719
605	83948	54580
606	84079	54436
607	84222	54301
608	84364	54165
609	84507	54029
610	84633	53882
611	84758	53735
612	84883	53588
613	85010	53443
614	85138	53298
615	85265	53152
616	85396	53009
617	85535	52871
618	85672	52732
619	85805	52590
620	85934	52446
621	86059	52300
622	86183	52153
623	86307	52005
624	86432	51859
625	86555	51711
626	86680	51565
627	86811	51423
628	86942	51280
629	87089	51147
630	87224	51007
631	87353	50864
632	87484	50721
633	87608	50575
634	87734	50429
635	87857	50283
636	87977	50134
637	88107	49992
638	88239	49850
639	88372	49709
640	88508	49570
641	88633	49424
642	88769	49285
643	88915	49151
644	89049	49011
645	89173	48866
646	89303	48723
647	89428	48578
648	89554	48433
649	89688	48293
650	89824	48154
651	89960	48015
652	90099	47878
653	90227	47735
654	90357	47592
655	90489	47451
656	90612	47306
657	90738	47161
658	90860	47015
659	90986	46872
660	91114	46728
661	91249	46589
662	91377	46446
663	91509	46305
664	91638	46163
665	91768	46022
666	91902	45882
667	92033	45741
668	92159	45597
669	92294	45458
670	92428	45318
671	92560	45178
672	92685	45034
673	92813	44891
674	92939	44748
675	93068	44606
676	93197	44464
677	93329	44324
678	93459	44183
679	93581	44038
680	93708	43895
681	93835	43753
682	93962	43610
683	94089	43468
684	94216	43325
685	94343	43183
686	94487	43049
687	94621	42909
688	94747	42766
689	94871	42623
690	94999	42481
691	95128	42340
692	95253	42197
693	95383	42056
694	95507	41913
695	95639	41773
696	95772	41634
697	95903	41494
698	96028	41351
699	96157	41210
700	96281	41067
701	96415	40928
702	96553	40791
703	96689	40653
704	96819	40513
705	96946	40371
706	97086	40235
707	97222	40097
708	97360	39960
709	97494	39821
710	97628	39682
711	97754	39541
712	97880	39399
713	98003	39256
714	98130	39114
715	98257	38973
716	98380	38830
717	98518	38693
718	98660	38558
719	98791	38418
720	98916	38276
721	99043	38136
722	99169	37994
723	99299	37854
724	99422	37711
725	99546	37569
726	99669	37427
727	99795	37286
728	99920	37144
729	100050	37004
730	100169	36861
731	100301	36722
732	100430	36582
733	100558	36442
734	100683	36300
735	100810	36160
736	100940	36020
737	101082	35885
738	101216	35747
739	101351	35610
740	101473	35467
741	101601	35327
742	101723	35185
743	101848	35044
744	101976	34904
745	102105	34765
746	102237	34626
747	102365	34486
748	102490	34346
749	102615	34205
750	102745	34066
751	102871	33925
752	103001	33786
753	103128	33646
754	103257	33507
755	103382	33366
756	103505	33225
757	103627	33084
758	103750	32943
759	103875	32802
760	104006	32664
761	104133	32524
762	104259	32384
763	104382	32243
764	104511	32104
765	104640	31965
766	104768	31826
767	104893	31686
768	105016	31545
769	105144	31406
770	105281	31270
771	105406	31130
772	105534	30991
773	105662	30852
774	105792	30713
775	105922	30575
776	106047	30435
777	106179	30298
778	106312	30160
779	106437	30020
780	106565	29881
781	106692	29743
782	106830	29606
783	106971	29471
784	107101	29333
785	107238	29197
786	107365	29058
787	107500	28921
788	107632	28783
789	107766	28646
790	107901	28510
791	108046	28375
792	108197	28243
793	108330	28105
794	108467	27969
795	108601	27832
796	108737	27696
797	108870	27558
798	109007	27422
799	109142	27285
800	109267	27146
801	109397	27008
802	109525	26869
803	109649	26730
804	109778	26592
805	109903	26453
806	110028	26314
807	110155	26175
808	110278	26036
809	110404	25897
810	110531	25758
811	110661	25621
812	110784	25481
813	110916	25344
814	111043	25206
815	111174	25068
816	111305	24931
817	111439	24794
818	111579	24659
819	111709	24521
820	111831	24382
821	111959	24244
822	112084	24105
823	112213	23968
824	112346	23831
825	112482	23694
826	112613	23557
827	112742	23420
828	112864	23280
829	112990	23142
830	113113	23003
831	113244	22866
832	113385	22731
833	113516	22594
834	113649	22457
835	113771	22318
836	113892	22179
837	114025	22043
838	114160	21906
839	114299	21771
840	114428	21634
841	114555	21496
842	114687	21359
843	114810	21220
844	114936	21082
845	115073	20947
846	115216	20812
847	115369	20679
848	115516	20545
849	115655	20409
850	115788	20273
851	115913	20135
852	116043	19998
853	116171	19860
854	116300	19723
855	116425	19585
856	116552	19448
857	116681	19310
858	116807	19173
859	116933	19035
860	117060	18898
861	117200	18762
862	117333	18626
863	117473	18491
864	117598	18353
865	117726	18216
866	117851	18078
867	117980	17941
868	118103	17803
869	118228	17666
870	118353	17528
871	118486	17392
872	118616	17255
873	118747	17119
874	118886	16983
875	119033	16849
876	119173	16714
877	119312	16578
878	119437	16441
879	119562	16304
880	119685	16166
881	119812	16029
882	119936	15891
883	120066	15755
884	120188	15617
885	120315	15480
886	120444	15344
887	120574	15207
888	120706	15071
889	120835	14934
890	120967	14798
891	121094	14661
892	121222	14524
893	121343	14387
894	121471	14250
895	121597	14113
896	121723	13977
897	121846	13839
898	121967	13702
899	122090	13565
900	122215	13428
901	122346	13292
902	122481	13156
903	122610	13020
904	122739	12884
905	122880	12749
906	123040	12616
907	123181	12480
908	123324	12346
909	123465	12210
910	123605	12075
911	123744	11940
912	123892	11805
913	124021	11669
914	124146	11532
915	124294	11398
916	124420	11261
917	124553	11125
918	124681	10989
919	124855	10857
920	125001	10722
921	125139	10586
922	125303	10453
923	125452	10318
924	125592	10183
925	125728	10047
926	125878	9912
927	126037	9778
928	126175	9643
929	126321	9508
930	126459	9372
931	126602	9237
932	126739	9101
933	126876	8965
934	127022	8830
935	127166	8695
936	127305	8559
937	127450	8424
938	127593	8288
939	127747	8154
940	127899	8019
941	128073	7885
942	128217	7750
943	128351	7614
944	128489	7478
945	128631	7342
946	128789	7207
947	128936	7072
948	129068	6936
949	129204	6800
950	129340	6664
951	129468	6527
952	129603	6391
953	129766	6257
954	129918	6121
955	130064	5986
956	130204	5850
957	130336	5714
958	130495	5579
959	130637	5443
960	130776	5307
961	130912	5171
962	131057	5035
963	131200	4899
964	131337	4763
965	131486	4627
966	131627	4491
967	131763	4355
968	131909	4220
969	132053	4084
970	132201	3948
971	132354	3812
972	132515	3677
973	132662	3541
974	132804	3405
975	132950	3269
976	133090	3133
977	133233	2997
978	133379	2861
979	133525	2725
980	133679	2589
981	133818	2452
982	133963	2316
983	134101	2180
984	134249	2044
985	134404	1908
986	134567	1772
987	134720	1636
988	134867	1500
989	135013	1363
990	135154	1227
991	135301	1091
992	135455	954
993	135609	818
994	135764	682
995	135911	545
996	136050	409
997	136196	272
998	136337	136
999	136473	0
