iter	Logloss
0	0.6813275831
1	0.6709750359
2	0.6613132008
3	0.6496775092
4	0.6364446179
5	0.6229518239
6	0.6118592108
7	0.5980325021
8	0.5901595401
9	0.5769872202
10	0.5710617693
11	0.5615539549
12	0.5488117484
13	0.5361291528
14	0.5278445289
15	0.5207639659
16	0.5127238851
17	0.5029551961
18	0.4908559876
19	0.4843257112
20	0.475279928
21	0.4691167835
22	0.4596284669
23	0.4511642908
24	0.4441216524
25	0.4388039234
26	0.4341637173
27	0.427979026
28	0.4199418349
29	0.4133750288
30	0.4037189346
31	0.3970786773
32	0.3889518463
33	0.3834628888
34	0.378801976
35	0.3731732361
36	0.3668182318
37	0.3630197533
38	0.3576887941
39	0.3505298094
40	0.3450113635
41	0.3417257585
42	0.3359480097
43	0.3304362825
44	0.325064716
45	0.3189422293
46	0.3144538796
47	0.3111902443
48	0.3036790212
49	0.2994699699
50	0.2959749855
51	0.293146493
52	0.2884831216
53	0.2847684101
54	0.2803872219
55	0.2777438533
56	0.2739753733
57	0.2708219509
58	0.2679712024
59	0.2650981476
60	0.2614336961
61	0.2580961198
62	0.2552340959
63	0.2512647343
64	0.2480851115
65	0.2451050856
66	0.2430511696
67	0.2412637317
68	0.2392573188
69	0.237437564
70	0.2339596578
71	0.2295021878
72	0.2246974713
73	0.2212850205
74	0.2183180512
75	0.2146837381
76	0.2118231137
77	0.2095099263
78	0.2064957469
79	0.2046816425
80	0.2034123652
81	0.2011010286
82	0.1979324487
83	0.1936472038
84	0.1919397343
85	0.1895820052
86	0.1873082748
87	0.1858617745
88	0.1839155502
89	0.1811016332
90	0.1787712999
91	0.1762231627
92	0.1737557343
93	0.1716808942
94	0.1692671307
95	0.1681071537
96	0.1663730297
97	0.1658072437
98	0.1645517098
99	0.1626875907
100	0.1606771934
101	0.1583402335
102	0.1573274832
103	0.155611913
104	0.1542997909
105	0.1524935251
106	0.1512397316
107	0.1496662049
108	0.1477626756
109	0.1462127812
110	0.144794302
111	0.1438065405
112	0.1425607187
113	0.1406131912
114	0.1387967412
115	0.1371041553
116	0.1356343761
117	0.1347743816
118	0.1333628998
119	0.1320033579
120	0.1309287686
121	0.1301079588
122	0.128735377
123	0.1277471587
124	0.1262460349
125	0.1245693084
126	0.1233446365
127	0.1226831266
128	0.1218519552
129	0.1203893712
130	0.1195992384
131	0.1175752889
132	0.1164422925
133	0.1156031049
134	0.1144370533
135	0.1136877894
136	0.1124617464
137	0.1115258536
138	0.110663653
139	0.109816135
140	0.1090812205
141	0.1085611963
142	0.1079721995
143	0.1074022817
144	0.1063284922
145	0.105503906
146	0.1047887348
147	0.1039815741
148	0.1031447234
149	0.1026572715
150	0.1023715775
151	0.1016665498
152	0.1006333902
153	0.0998724262
154	0.09878211321
155	0.09822824803
156	0.09742645478
157	0.09656919022
158	0.09572582352
159	0.0950244678
160	0.09457512976
161	0.09371052282
162	0.09333038948
163	0.09276230939
164	0.09192655567
165	0.09121419214
166	0.09041981841
167	0.08996201023
168	0.08937098636
169	0.08866649353
170	0.08793058929
171	0.08719865989
172	0.08644302846
173	0.08605562124
174	0.08528944517
175	0.08401788252
176	0.08357541962
177	0.0829425412
178	0.08215708695
179	0.08162286227
180	0.08108583278
181	0.08026264628
182	0.07996496517
183	0.07946852234
184	0.07877720504
185	0.0784728532
186	0.07797890537
187	0.07761281749
188	0.07712586219
189	0.07668363063
190	0.07618651563
191	0.07578240895
192	0.0749386776
193	0.07439364056
194	0.07390702713
195	0.07322802945
196	0.07266532025
197	0.07212922874
198	0.07177635629
199	0.07154687202
200	0.07112337143
201	0.07077656993
202	0.07055742904
203	0.07003279932
204	0.06980445785
205	0.06932332014
206	0.06874149396
207	0.06836037183
208	0.06753551885
209	0.06710082183
210	0.06669385947
211	0.0663047756
212	0.06599983618
213	0.06564573468
214	0.06534305709
215	0.06485621922
216	0.06442212878
217	0.06416442106
218	0.06387393094
219	0.06354530446
220	0.06327012601
221	0.06274166756
222	0.06230909931
223	0.06193210343
224	0.06151782225
225	0.0611218585
226	0.0606801568
227	0.06027392366
228	0.05995706731
229	0.05969474263
230	0.05924061353
231	0.05859404844
232	0.05819225645
233	0.05790098093
234	0.05747417106
235	0.05720526237
236	0.05697192576
237	0.05670493551
238	0.05645483308
239	0.05619292659
240	0.0558941435
241	0.05548065863
242	0.05516793041
243	0.054791911
244	0.054364386
245	0.05406119464
246	0.05377623581
247	0.05337403821
248	0.05312993004
249	0.05297850881
250	0.05273757634
251	0.05236594952
252	0.05206895285
253	0.05182079146
254	0.05146893639
255	0.05125060976
256	0.05095155213
257	0.05071310891
258	0.05039526038
259	0.0501132821
260	0.04984285748
261	0.04963010849
262	0.04932066146
263	0.04912747804
264	0.04887392489
265	0.04854135302
266	0.04836903577
267	0.04804172351
268	0.04763783236
269	0.04736255391
270	0.04722560183
271	0.04704210482
272	0.04672262105
273	0.046533904
274	0.04635128634
275	0.04595308296
276	0.04561015188
277	0.04537495402
278	0.04519484205
279	0.04498182555
280	0.04470383096
281	0.04460247027
282	0.04423911562
283	0.04403357096
284	0.04381317655
285	0.0436305391
286	0.04336747577
287	0.04305946476
288	0.04279578312
289	0.0426082576
290	0.04230120131
291	0.04211661565
292	0.041882597
293	0.04173938246
294	0.04162144155
295	0.04145358595
296	0.04135893764
297	0.04127119826
298	0.04108746353
299	0.04096009368
300	0.04074138985
301	0.04063389453
302	0.04054658255
303	0.04034044601
304	0.04017765886
305	0.03993854122
306	0.039652334
307	0.0395359434
308	0.03932495802
309	0.03923131164
310	0.03892796545
311	0.03878202429
312	0.03862164576
313	0.03846353498
314	0.03819335617
315	0.03796847338
316	0.03776132226
317	0.03755789016
318	0.03742955866
319	0.03732438811
320	0.03705698403
321	0.03696762272
322	0.03680276977
323	0.03662294325
324	0.03652673177
325	0.03629142433
326	0.03608497658
327	0.03592146704
328	0.03572518343
329	0.03563708187
330	0.03552115963
331	0.03540392687
332	0.03532689764
333	0.0351469623
334	0.03506883035
335	0.03491439889
336	0.03468854021
337	0.03452517811
338	0.03434135858
339	0.03413185272
340	0.03397906446
341	0.03386165824
342	0.03376996407
343	0.03362922723
344	0.03352549806
345	0.03326756042
346	0.03307608107
347	0.03292852409
348	0.03274576918
349	0.0326182123
350	0.03246046866
351	0.03232607419
352	0.03224855981
353	0.03211328871
354	0.03192781801
355	0.03178619009
356	0.03169058916
357	0.03159957824
358	0.03154813598
359	0.03136363692
360	0.03126389527
361	0.03116566884
362	0.03111755777
363	0.03099364676
364	0.03093059174
365	0.03082998323
366	0.03069189085
367	0.03055496843
368	0.03040240702
369	0.03028574995
370	0.03020820028
371	0.03011561721
372	0.02994182041
373	0.02987212447
374	0.02978023355
375	0.02970107385
376	0.02956755628
377	0.02947022354
378	0.02931542564
379	0.02925110867
380	0.02916390228
381	0.02897368032
382	0.02892034971
383	0.02878071458
384	0.02864284426
385	0.02852685431
386	0.02834937416
387	0.02823885569
388	0.02816986059
389	0.02812877631
390	0.02797993099
391	0.02791569956
392	0.02786357453
393	0.02775064248
394	0.02762613217
395	0.02752690134
396	0.02741761043
397	0.02727769538
398	0.02721546527
399	0.02714117854
